raceId,year,round,circuitId,name.x,date,location,country,temperature ,wind speed
337,2010,1,3,Bahrain Grand Prix,2010-03-14,Sakhir,Bahrain,80.19,10
338,2010,2,1,Australian Grand Prix,2010-03-28,Melbourne,Australia,70.85,29
339,2010,3,2,Malaysian Grand Prix,2010-04-04,Kuala Lumpur,Malaysia,85.3,9
340,2010,4,17,Chinese Grand Prix,2010-04-18,Shanghai,China,62.46,22
341,2010,5,4,Spanish Grand Prix,2010-05-09,MontmelÌ_,Spain,61.07,15
342,2010,6,6,Monaco Grand Prix,2010-05-16,Monte-Carlo,Monaco,64.84,16
343,2010,7,5,Turkish Grand Prix,2010-05-30,Istanbul,Turkey,74.68,10
344,2010,8,7,Canadian Grand Prix,2010-06-13,Montreal,Canada,69.43,10
345,2010,9,12,European Grand Prix,2010-06-27,Valencia,Spain,75.77,13
346,2010,10,9,British Grand Prix,2010-07-11,Silverstone,UK,70.1,16
347,2010,11,10,German Grand Prix,2010-07-25,Hockenheim,Germany,64,9
348,2010,12,11,Hungarian Grand Prix,2010-08-01,Budapest,Hungary,73.21,12
349,2010,13,13,Belgian Grand Prix,2010-08-29,Spa,Belgium,54.79,21
350,2010,14,14,Italian Grand Prix,2010-09-12,Monza,Italy,68.81,6
351,2010,15,15,Singapore Grand Prix,2010-09-26,Marina Bay,Singapore,83.3,13
352,2010,16,22,Japanese Grand Prix,2010-10-10,Suzuka,Japan,72.07,23
353,2010,17,35,Korean Grand Prix,2010-10-24,Yeongam County,Korea,64.5,10
354,2010,18,18,Brazilian Grand Prix,2010-11-07,SÌ£o Paulo,Brazil,66.67,12
355,2010,19,24,Abu Dhabi Grand Prix,2010-11-14,Abu Dhabi,UAE,75.83,17
841,2011,1,1,Australian Grand Prix,2011-03-27,Melbourne,Australia,58.13,13
842,2011,2,2,Malaysian Grand Prix,2011-04-10,Kuala Lumpur,Malaysia,81.57,7
843,2011,3,17,Chinese Grand Prix,2011-04-17,Shanghai,China,58.91,11
844,2011,4,5,Turkish Grand Prix,2011-05-08,Istanbul,Turkey,53.94,21
845,2011,5,4,Spanish Grand Prix,2011-05-22,MontmelÌ_,Spain,69.33,14
846,2011,6,6,Monaco Grand Prix,2011-05-29,Monte-Carlo,Monaco,68.29,12
847,2011,7,7,Canadian Grand Prix,2011-06-12,Montreal,Canada,61.05,15
848,2011,8,12,European Grand Prix,2011-06-26,Valencia,Spain,78.08,12
849,2011,9,9,British Grand Prix,2011-07-10,Silverstone,UK,63,7
850,2011,10,20,German Grand Prix,2011-07-24,NÌ_rburg,Germany,50.31,12
851,2011,11,11,Hungarian Grand Prix,2011-07-31,Budapest,Hungary,61.68,17
852,2011,12,13,Belgian Grand Prix,2011-08-28,Spa,Belgium,57.3,18
853,2011,13,14,Italian Grand Prix,2011-09-11,Monza,Italy,75.83,7
854,2011,14,15,Singapore Grand Prix,2011-09-25,Marina Bay,Singapore,84.09,9
855,2011,15,22,Japanese Grand Prix,2011-10-09,Suzuka,Japan,66.7,13
856,2011,16,35,Korean Grand Prix,2011-10-16,Yeongam County,Korea,64.5,17
857,2011,17,68,Indian Grand Prix,2011-10-30,Uttar Pradesh,India,73.5,6
858,2011,18,24,Abu Dhabi Grand Prix,2011-11-13,Abu Dhabi,UAE,72.5,8
859,2011,19,18,Brazilian Grand Prix,2011-11-27,SÌ£o Paulo,Brazil,69.83,13
860,2012,1,1,Australian Grand Prix,2012-03-18,Melbourne,Australia,61.93,17
861,2012,2,2,Malaysian Grand Prix,2012-03-25,Kuala Lumpur,Malaysia,84.78,12
862,2012,3,17,Chinese Grand Prix,2012-04-15,Shanghai,China,61.28,9
863,2012,4,3,Bahrain Grand Prix,2012-04-22,Sakhir,Bahrain,77.83,25
864,2012,5,4,Spanish Grand Prix,2012-05-13,MontmelÌ_,Spain,68.13,14
865,2012,6,6,Monaco Grand Prix,2012-05-27,Monte-Carlo,Monaco,65.38,20
866,2012,7,7,Canadian Grand Prix,2012-06-10,Montreal,Canada,70.42,9
867,2012,8,12,European Grand Prix,2012-06-24,Valencia,Spain,77.09,15
868,2012,9,9,British Grand Prix,2012-07-08,Silverstone,UK,62.3,13
869,2012,10,10,German Grand Prix,2012-07-22,Hockenheim,Germany,59.5,9
870,2012,11,11,Hungarian Grand Prix,2012-07-29,Budapest,Hungary,76.55,26
871,2012,12,13,Belgian Grand Prix,2012-09-02,Spa,Belgium,59.3,9
872,2012,13,14,Italian Grand Prix,2012-09-09,Monza,Italy,73.66,5
873,2012,14,15,Singapore Grand Prix,2012-09-23,Marina Bay,Singapore,83.67,8
874,2012,15,22,Japanese Grand Prix,2012-10-07,Suzuka,Japan,71.61,22
875,2012,16,35,Korean Grand Prix,2012-10-14,Yeongam County,Korea,64,14
876,2012,17,68,Indian Grand Prix,2012-10-28,Uttar Pradesh,India,74.5,5
877,2012,18,24,Abu Dhabi Grand Prix,2012-11-04,Abu Dhabi,UAE,82.33,16
878,2012,19,69,United States Grand Prix,2012-11-18,Austin,USA,55.92,14
879,2012,20,18,Brazilian Grand Prix,2012-11-25,SÌ£o Paulo,Brazil,66.33,16
880,2013,1,1,Australian Grand Prix,2013-03-17,Melbourne,Australia,55.67,24
881,2013,2,2,Malaysian Grand Prix,2013-03-24,Kuala Lumpur,Malaysia,82.04,8
882,2013,3,17,Chinese Grand Prix,2013-04-14,Shanghai,China,67.26,20
